名次,昵称,组别,总分,最后提交时间
1,卡薇蒂格维丽,已封禁,2012,2022-11-23 21:07:35
2,hh,已封禁,1823,2022-11-24 17:11:24
3,hash_hash,已封禁,1624,2022-11-24 13:26:17
4,ZianTT #Bytes,已封禁,1346,2022-11-23 22:01:17
5,lyscf #你干嘛，哎呦,已封禁,1263,2022-11-23 21:43:37
6,王德发,已封禁,1212,2022-11-24 13:11:31
7,Ryo,已封禁,1067,2022-11-24 17:06:10
8,who cares?,已封禁,987,2022-11-24 00:57:22
9,404p3rs0n,已封禁,864,2022-11-24 13:11:38
10,路小雨,已封禁,850,2022-11-25 17:24:01
11,Twinkl3r,已封禁,643,2022-11-23 20:40:12
12,jiaqiniu,已封禁,543,2022-11-22 12:57:16
13,周璟阳,已封禁,504,2022-11-22 23:21:25
14,冰糖雪狸,已封禁,415,2022-11-22 12:46:03
15,MYMoonchy,已封禁,415,2022-11-22 13:52:49
16,Ryo,已封禁,320,2022-11-25 01:10:38
17, ,已封禁,281,2022-11-23 23:48:33
18,HB,已封禁,125,2022-11-22 10:34:42
19,tnn,已封禁,99,2022-11-24 21:11:07
20,luofeng,已封禁,42,2022-11-19 12:55:43
21,一袭青衣尽长安,已封禁,42,2022-11-19 12:59:17
22,And_1,已封禁,42,2022-11-19 13:09:40
23,清华北大电,已封禁,42,2022-11-19 13:09:56
24,风,已封禁,42,2022-11-19 13:44:21
25,Bq3ri,已封禁,42,2022-11-19 14:06:24
26,Xfeng,已封禁,42,2022-11-19 17:36:09
27,qwer,已封禁,42,2022-11-19 20:16:58
28,3284,已封禁,42,2022-11-20 23:25:33
29,Sp4rk13,已封禁,42,2022-11-22 17:03:24
30,xizoe,已封禁,13,2022-11-25 09:28:02
